source: 01 5 17	Hillman said coldly, “Wushan town is my home, sire.”


score: 0.625398, para: 02 6 10	Hillman was startled.


score: 0.625398, para: 02 6 27	“Linley, are you okay?” Hillman said.


score: 0.625398, para: 02 6 31	Linley and Hillman watched, stunned.


score: 0.625398, para: 02 6 60	“You…tamed him?” Hillman was stunned.


score: 0.568260, para: 01 1 113	“Look at Wushan. Isn’t it huge?” Hillman smiled.


score: 0.537751, para: 01 8 50	At this point in time, Hillman’s group was roughly a hundred meters away from the Velocidragon. They quietly watched the events in the center of town unfold. In front of the huge Velocidragon, a group of youngsters could be seen. Four men, three women.


score: 0.532669, para: 01 1 112	Hillman pointed at a mountain to the northeast.


score: 0.512386, para: 01 1 121	“Captain Hillman, you are definitely much more formidable than ole Potter of bygone years. Under your guidance, I believe that Wushan town will become the strongest town in our region, surpassing the other ten or so towns,” Lorry said with a smile.


