source: 02 6 18	“Squeak. Squeaaaaak!” The little Shadowmouse stood there, watching Linley.


score: 0.746368, para: 02 3 28	Linley stood at the doorway.


score: 0.713468, para: 01 2 35	Little Wharton was staring at Linley with a look of pure, simple love. Walking unsteadily, he extended a small, pudgy hand towards Linley, trying to hug him. Linley stood not too far away, quietly waiting for little Wharton to reach him.


score: 0.701226, para: 02 3 49	“The Shadowmouse is actually here staring at me.” Linley chuckled as he saw that Shadowmouse inside the courtyard watch him approach.


score: 0.682337, para: 01 9 40	Staring at the Velocidragon, Linley watched as its whip-like tail snapped about, dancing in front of it.


score: 0.681076, para: 02 5 55	The little Shadowmouse really liked Linley.


score: 0.679531, para: 02 4 12	Upon smelling the roasted chicken, the little Shadowmouse’s eyes shone, and then it looked at Linley pitifully. Seeing this, Linley couldn’t help but laugh until his stomach hurt. In the past, when Linley gave good food to little Wharton, little Wharton would say, “Big bro, I want!” while staring at him in a pitiful manner.


score: 0.676113, para: 01 8 2	Upon seeing this enormous creature, Linley and the rest of the children were scared silly. Hillman, Roger and Lorry’s reaction speeds were very quick; they immediately stood in front of the group of kids and carefully watched the enormous creature.


score: 0.663090, para: 01 4 8	“Ley is really amazing. Just eight years old, but he’s able to match the thirteen year olds in doing the ‘Static Tension’ exercise.” Some of the children who had already given up were sprawled on the ground, chatting as they watched Linley.


score: 0.658893, para: 02 3 56	Only Doehring Cowart was aware of this all, as he watched Linley mature.


